Load Cell S/N,Port No.,Direction,Force (lbs),ADC Conv.
1818000262,1,,0,2041
1818000254,2,,0,2018
1818000259,3,,0,2041
1818000262,1,,0,2033
1818000254,3,,0,2031
1818000259,2,,0,2030
1818000262,1,Tension,50,2045
1818000254,3,Tension,50,2192
1818000259,2,Tension,50,2202
1818000262,1,Tension,100,2066
1818000254,3,Tension,100,2367
1818000259,2,Tension,100,2378
1818000254,3,Tension,150,2544
1818000259,2,Tension,150,2532
1818000262,2,Tension,100,2374
1818000262,2,Tension,150,2530
1818000262,2,Tension,50,2195
1818000262,2,Compression,45,1959
1818000262,2,Compression,90,1959
1818000254,3,Compression,90,1965
1818000254,3,Compression,45,1963
1818000259,1,Compression,90,2011
