Load Cell S/N,Port No.,Direction,Force (lbs),ADC Conv.,Voltage (V)
1818000262,1,,0,2013,1.624
1818000254,2,,0,2002,1.62
1818000259,3,,0,2044,1.646
1818000262,1,Tension,22.5,2107,1.69
1818000262,1,Tension,32.5,2142,1.717
1818000262,1,Tension,50,2205,1.769
1818000262,1,Tension,75,2289,1.837
1818000262,1,Tension,100,2369,1.902
1818000262,1,Tension,150,2530,2.041
1818000262,1,Compression,22.5,1945,1.561
1818000262,1,Compression,32.5,1911,1.534
1818000262,1,Compression,50,1847,1.482
1818000262,1,Compression,75,1756,1.415
1818000262,1,Compression,100,1678,1.348
1818000254,2,Compression,22.5,1923,
1818000254,2,Compression,32.5,1900,
1818000254,2,Compression,50,1827,
1818000254,2,Compression,75,1749,
1818000254,2,Compression,100,1661,
1818000259,3,Compression,22.5,1963,
1818000259,3,Compression,32.5,1921,
1818000259,3,Compression,50,1869,
1818000259,3,Compression,75,1774,
1818000259,3,Compression,100,1687,
1818000254,1,Compression,22.5,1918,
1818000254,1,Compression,32.5,1893,1.519
1818000254,1,Compression,50,1828,1.467
1818000254,1,Compression,75,1737,1.4
1818000254,1,Compression,100,1659,1.331
